,Unnamed: 0,Unnamed: 0.1,n_genes,percent_mito,n_counts,scale_SLC17A7,scale_MGP,scale_GAD1,scale_NOV,scale_RASGRF2,scale_RORB,scale_CUX2,scale_PLCXD2,scale_SULF2,scale_CTGF,scale_PCP4,scale_SEMA3E,scale_NPY,scale_SST,scale_PVALB,scale_VIP,scale_CALB2,scale_CCK,scale_RELN,scale_FOS,scale_EGR1,scale_PROK2,scale_EGR2,scale_BDNF,scale_GJA1,scale_CTSS,scale_MBP,scale_FLT1,leiden_pca,leiden_scvi,x,y,z
32050,32050,32783,28,0,42111,0.14068717,0.008248146,0.010867793999999998,0.015523317,0.04085268,0.01442824,0.088960126,0.011460841000000001,0.046508007000000004,0.02515837,0.0074853030000000004,0.006942055,0.011407427,0.000295609,0.000826925,0.003971773,0.02177708,0.057880588,0.006316444,0.036044728,0.056318235,0.008022327,0.005722133000000001,0.002162929,0.27735677,0.04051271,0.044951566,0.009310697,0,6,123.006,89.38799999999999,29.61
32051,32051,32784,28,0,64090,0.08072789,0.01070915,0.065659866,0.004590782,0.03507212,0.015171498,0.05215724,0.011428674,0.037551193999999996,0.016654177,0.005281811,0.0029241320000000003,0.02291536,0.000827707,0.0053149519999999995,0.001660743,0.024579035,0.04562651,0.032774538,0.026190335,0.027395198,0.006581491,0.003823933,0.001830216,0.12488768,0.049169295,0.20129697,0.08719747,8,6,123.396,77.61,29.61
32052,32052,32785,28,0,58937,0.12485234,0.010317754,0.11198895,0.03766207,0.028429305,0.015916385,0.09011266,0.018489481999999998,0.035271995,0.02421699,0.009161647,0.010911958000000001,0.028754602999999997,0.0021003470000000002,0.023394164,0.005255768,0.016357481,0.08192591,0.009539924,0.029598076,0.048511334,0.00662104,0.003720463,0.001551023,0.09033510000000002,0.039656814,0.08124644,0.014099926,7,6,127.84200000000001,84.786,29.61
32053,32053,32786,28,0,45432,0.043405022,0.00786675,0.015629198,0.0038792970000000003,0.032032523,0.012251558999999999,0.03494016,0.0070087430000000004,0.0368767,0.21792063,0.008323732,0.016096776,0.023732059,0.001124385,0.005000578,0.00022987799999999998,0.017137978,0.029315194,0.006426751,0.010752393999999998,0.020861082,0.006522895999999999,0.001942251,0.001292583,0.24148491,0.048014857,0.046761923,0.10316922,8,6,133.458,112.944,29.295
32054,32054,32787,28,0,68791,0.027087647000000003,0.00537321,0.002687176,0.002906155,0.035616777999999995,0.010881353,0.011903602,0.00242407,0.03458343,0.2550926,0.008090833,0.012383028,0.012973425,0.000811309,0.004717842,0.00037012,0.013035236,0.024621075,0.004551695,0.013543597,0.025887981,0.020681053,0.009980628,0.0032859779999999997,0.34921777,0.057176925,0.00713966,0.042975824,8,6,136.188,117.85799999999999,29.61
32075,32075,32810,28,0,17456,0.14110842,0.006297493,0.021885682000000004,0.006507941999999999,0.023158217000000002,0.009592226,0.01494281,0.016656125,0.03760805,0.012731055,0.030870762000000003,0.0052475690000000005,0.025717175,0.002734626,0.024391975,0.005613358000000001,0.013760537,0.050797737999999995,0.004764976,0.023489276,0.06514196,0.013530213999999999,0.007967166,0.002796785,0.14110747,0.04593073,0.23065229,0.014997366000000002,7,6,17.55,102.024,28.35
32077,32077,32812,28,0,51049,0.043920133,0.008954578000000001,0.05812897,0.008052999,0.02274911,0.009045885,0.055526655,0.013200095,0.030260956000000002,0.08473761,0.009821105,0.014484277,0.020687224,0.001375506,0.010953241,0.0008837130000000001,0.012921636,0.023212767999999998,0.004489708,0.015027463000000001,0.012615135,0.00268129,0.0006712630000000001,0.000859457,0.06586239,0.04734634,0.25076023,0.17077029,8,5,19.188,99.45,28.35
32093,32093,32828,28,0,42013,0.2053074,0.0068470959999999996,0.012676488,0.005159186,0.025850644,0.008237578,0.009654789,0.015393068000000001,0.03790376,0.011285677,0.045722265,0.006478429,0.020595804,0.003735439,0.02013148,0.001068475,0.015940377,0.045234065999999996,0.005265749,0.017545218,0.043128163,0.0052808759999999995,0.001470599,0.001388151,0.13134103,0.038562484,0.24987085,0.008924849,3,6,31.2,13.182,28.35
32096,32096,32831,27,0,27944,0.12443763,0.0071327280000000005,0.032144643,0.00351206,0.018447194,0.009088513000000001,0.029045299,0.018765511000000002,0.029901182000000002,0.02790916,0.038847335,0.012027306000000001,0.008870629,0.000324045,0.002037789,0.001247992,0.01203605,0.04507827,0.004896335999999999,0.016971799,0.030278351000000002,0.004126485,0.001303565,0.001202191,0.05210761,0.047620304,0.38266104,0.03797895,3,5,31.2,57.096000000000004,28.35
32097,32097,32832,28,0,42557,0.1461443,0.00541331,0.009055505,0.003278795,0.021034177,0.006121444,0.005696905,0.0067319680000000005,0.034794873999999996,0.019736465,0.054720502000000004,0.02042668,0.022250542,0.039249692,0.01617692,0.002404628,0.012208082,0.02737235,0.004154550999999999,0.008647073,0.03545481,0.006335652,0.001386914,0.001453144,0.13289864,0.046525425999999995,0.29419214,0.016134527,3,6,34.164,68.718,28.35
