,x,y,z
64,8.736,94.926,2.205
65,8.892000000000001,30.498,1.89
66,8.736,50.232,2.52
67,9.048,11.154000000000002,2.835
68,9.048,61.386,2.835
69,8.97,7.254,3.465
70,9.048,52.88399999999999,1.89
71,9.126,22.151999999999997,2.205
72,9.204,77.142,3.465
73,9.437999999999999,99.91799999999999,1.89
74,9.594,78.312,1.89
75,9.594,73.476,2.205
76,9.75,88.14,2.52
77,9.906,92.118,2.205
78,9.984,16.926,1.89
79,10.062000000000001,23.634,1.89
80,9.906,31.59,2.52
81,10.14,40.326,2.205
82,10.14,113.49,2.205
83,10.14,51.636,3.15
84,10.374,24.881999999999998,2.835
85,10.686,20.202,2.835
86,10.842,57.174,2.52
87,11.075999999999999,5.226,2.52
88,11.075999999999999,86.26799999999999,1.89
89,11.232000000000001,103.506,2.205
90,11.232000000000001,46.956,2.835
91,11.466,31.824,2.52
92,11.31,80.418,1.89
93,11.777999999999999,53.43,4.095
94,11.466,61.152,2.52
95,11.388,71.52600000000001,1.89
96,11.544,59.202,2.205
97,11.622,93.912,1.89
98,11.856,57.56399999999999,2.205
99,11.856,21.84,3.465
100,12.324000000000002,50.778,2.52
101,12.168,77.61,2.835
102,12.714,93.288,1.89
103,13.026,75.11399999999999,2.205
104,13.26,1.3259999999999998,1.89
105,13.415999999999999,12.402000000000001,1.89
106,13.494000000000002,96.33,2.52
107,13.65,36.114000000000004,2.835
108,13.415999999999999,56.238,2.835
109,13.494000000000002,70.74600000000001,2.52
110,13.494000000000002,101.478,3.15
111,13.65,39.546,2.205
112,13.728,72.306,3.15
113,13.806,73.476,2.835
114,13.806,67.626,1.89
115,13.728,78.39,1.89
116,13.962,103.896,2.205
117,14.118,81.978,1.89
118,14.196,9.048,2.205
119,14.274000000000001,32.525999999999996,2.52
120,14.196,74.958,2.205
121,14.82,52.806000000000004,4.41
122,14.585999999999999,5.85,1.89
123,14.742,21.684,2.205
124,14.82,24.336,1.89
125,14.742,71.058,2.835
126,14.742,105.3,1.89
127,15.132,26.208000000000002,2.52
128,15.054,30.342,3.465
129,15.288,48.75,2.205
130,15.444,33.228,1.89
131,15.6,19.656,2.835
132,16.302,28.938000000000002,1.89
133,16.458,67.47,2.205
134,16.535999999999998,39.702,2.205
135,17.004,12.402000000000001,1.89
136,16.692,76.128,2.52
137,16.926,45.474,2.52
138,17.004,14.898,1.89
139,17.082,72.072,2.205
140,17.238,23.868000000000002,1.89
141,17.628,78.234,2.52
142,17.706,85.33200000000001,1.89
143,17.706,74.334,3.465
144,17.862000000000002,40.17,1.89
145,18.096,83.538,2.205
146,18.018,86.42399999999999,2.835
147,18.174,65.988,2.205
148,18.408,13.182,1.89
149,18.798,25.272,1.89
150,18.564,35.256,2.52
151,18.642,62.244,2.835
152,18.798,16.614,2.205
153,18.954,67.47,2.205
154,19.11,15.288,1.89
155,19.266,0.858,2.205
156,19.578,59.67,2.205
157,19.578,33.618,2.52
158,19.734,110.76,2.205
159,19.968,23.555999999999997,4.095
160,19.656,35.88,3.15
161,19.89,37.205999999999996,2.835
162,19.5,50.622,3.465
163,20.124000000000002,60.918,2.52
164,20.046,21.996,1.89
165,20.358,64.506,1.89
166,20.358,2.262,1.89
167,20.982,9.048,1.89
168,20.826,44.693999999999996,2.205
169,21.138,7.176,2.205
170,21.06,30.186,2.52
171,21.215999999999998,94.22399999999999,2.52
172,21.605999999999998,22.776,2.835
173,21.45,79.32600000000001,2.205
174,21.528000000000002,98.124,1.89
175,21.684,21.372,2.52
176,21.528000000000002,31.59,2.52
177,21.918000000000003,106.236,2.835
178,21.996,28.47,2.835
179,22.074,13.494000000000002,1.89
180,22.23,63.102,2.205
181,22.23,80.262,1.89
182,22.541999999999998,74.958,1.89
183,22.698,2.886,1.89
184,22.854,1.4040000000000001,2.52
185,23.322,7.176,2.205
186,23.712,95.55,3.465
187,23.478,34.398,2.52
188,23.868000000000002,79.32600000000001,2.52
189,24.101999999999997,76.986,1.89
190,24.258000000000003,8.267999999999999,2.205
191,24.491999999999997,5.928,1.89
192,24.491999999999997,49.53,2.205
193,24.648000000000003,91.806,1.89
194,24.881999999999998,24.101999999999997,2.835
195,24.881999999999998,28.704,1.89
196,24.804000000000002,37.05,2.205
197,24.881999999999998,51.636,2.205
198,25.038,118.014,1.89
199,25.272,19.812,2.205
200,25.272,16.146,1.89
201,25.662,42.666000000000004,2.205
202,25.818,75.50399999999999,2.205
203,26.13,32.525999999999996,2.835
204,26.052,46.722,1.89
205,26.13,54.21,2.205
206,26.208000000000002,49.763999999999996,2.205
207,26.754,80.418,2.52
208,26.988000000000003,86.26799999999999,1.89
209,27.221999999999998,6.942,1.89
210,27.066,63.102,4.095
211,27.924,113.568,2.205
212,28.158,74.72399999999999,2.835
213,27.924,78.858,1.89
214,28.08,103.116,2.835
215,28.08,93.522,2.52
216,28.314,19.734,2.835
217,28.314,55.302,2.205
218,28.392,107.25,2.52
219,28.47,58.733999999999995,4.41
220,28.548000000000002,51.636,2.205
221,28.704,0.936,1.89
222,28.548000000000002,68.64,2.205
223,28.86,35.334,1.89
224,28.625999999999998,99.84,2.52
225,29.016,10.842,1.89
226,29.016,2.028,3.78
227,29.328000000000003,88.764,2.835
228,29.328000000000003,42.431999999999995,3.465
229,29.328000000000003,91.182,2.835
230,29.796,102.96,2.205
231,29.718000000000004,14.976,2.205
232,29.796,49.842,1.89
233,29.952,62.166000000000004,2.205
234,30.342,35.88,1.89
235,30.498,12.324000000000002,2.205
236,30.498,29.484,2.205
237,30.576,114.89399999999999,3.15
238,30.732,105.456,2.205
239,30.965999999999998,10.607999999999999,2.205
240,31.278000000000002,26.052,1.89
241,31.278000000000002,97.96799999999999,3.15
242,31.746,22.074,3.15
243,31.511999999999997,92.508,3.465
244,31.044,95.47200000000001,9.135
245,32.135999999999996,62.711999999999996,1.89
246,32.292,2.262,3.78
247,32.525999999999996,9.36,1.89
248,32.37,59.04600000000001,3.78
249,32.838,93.366,1.89
250,32.838,94.69200000000001,2.52
251,32.994,23.478,1.89
252,33.15,36.426,2.205
253,33.15,68.016,1.89
254,33.306,112.164,2.205
255,33.384,6.162000000000001,1.89
256,33.618,47.268,2.52
257,33.54,64.116,2.205
258,33.461999999999996,74.646,2.205
259,33.306,77.376,4.095
260,33.54,88.296,2.52
261,33.774,117.46799999999999,2.205
262,33.852,32.448,1.89
263,33.852,89.7,2.52
264,33.618,96.40799999999999,4.095
265,34.086,93.912,4.725
266,34.242,101.4,2.52
267,34.398,59.513999999999996,2.205
268,34.632,5.6160000000000005,2.52
269,35.178000000000004,65.208,3.78
270,34.944,110.682,1.89
271,35.1,73.554,2.835
272,35.1,98.35799999999999,1.89
273,35.412,43.758,1.89
274,35.802,115.83,2.52
275,35.802,13.26,2.205
276,35.646,105.456,2.205
277,35.88,117.624,1.89
278,36.192,102.258,4.41
279,36.348,21.918000000000003,2.52
280,36.27,83.694,1.89
281,37.205999999999996,38.922,1.89
282,37.284,88.53,2.205
283,37.205999999999996,59.43600000000001,2.205
284,36.738,79.872,8.19
285,37.44,50.153999999999996,1.89
286,37.361999999999995,115.83,2.52
287,37.596,10.452,1.89
288,37.518,101.01,1.89
289,37.674,23.4,2.205
290,37.674,102.804,1.89
291,38.454,92.898,2.52
292,38.532,29.406,2.205
293,38.454,55.458,2.835
294,38.454,58.968,2.205
295,38.61,70.2,2.205
296,38.22,109.902,5.67
297,38.922,63.492,1.89
298,38.922,6.318,2.52
299,39.234,76.986,2.835
300,39.546,66.768,2.52
301,39.234,91.26,1.89
302,39.468,99.37200000000001,2.835
303,39.39,100.542,6.93
304,39.624,92.274,2.52
305,39.78,65.286,2.835
306,39.78,104.44200000000001,5.04
307,39.936,110.76,2.835
308,40.092,85.488,2.52
309,40.326,58.032,2.205
310,40.248000000000005,115.28399999999999,3.78
311,40.56,66.846,1.89
312,40.716,78.93599999999998,1.89
313,40.56,94.848,1.89
314,40.56,101.634,2.835
315,40.716,108.81,2.205
316,41.106,47.424,1.89
317,41.106,77.22,1.89
318,41.106,112.398,1.89
319,41.184,50.153999999999996,2.52
320,41.574,10.218,1.89
321,41.73,42.12,2.205
322,41.808,55.848,2.205
323,41.73,115.596,2.205
