,x,y,reads_per_cell,genes_per_cell,cluster_id,cluster_name
86,381.086373693115,15713.6913799835,594,259,6,Smc
87,417.08942855084,2575.45888880882,157,89,-1,
88,398.42552127414,4333.79622220513,579,297,5,eL6-2
89,412.196108581229,1029.57135253415,418,226,0,HPC
90,424.88062994056,1741.74894294994,250,135,3,eL5
91,427.063126378821,5434.769776237,1002,391,5,eL6-2
92,431.116002700878,9271.25355840648,881,355,2,eL4
93,415.737876802097,3937.10406290957,673,314,5,eL6-2
94,404.786452077829,6506.07864520778,526,240,2,eL4
95,421.663123631755,8630.74409494181,1216,495,3,eL5
96,421.562652851921,8796.66597417624,805,306,3,eL5
97,436.132677279305,10598.0440520984,1086,464,2,eL4
98,459.300969718603,2268.21024451187,365,177,8,Oligo
99,441.491214329497,3774.07968398829,890,374,5,eL6-2
100,417.403127522515,7693.09830487013,2098,594,7,Astro-1
101,417.322159491884,8085.5019848271,703,319,13,PVALB
102,435.810023735622,14680.8800438196,248,133,7,Astro-1
103,419.620415126528,4573.65481944839,771,344,5,eL6-2
104,456.479957570344,10748.8664582403,373,168,8,Oligo
105,427.647316492303,11478.775367866,550,233,10,Endo
106,437.476805081596,12256.3647666993,1260,467,1,eL2/3
107,457.097768260448,12509.3437615017,657,287,10,Endo
108,455.769230769231,12826.2541039966,608,273,1,eL2/3
109,471.563130653004,11615.3438071836,801,358,1,eL2/3
110,476.108711924915,10867.3465192607,534,269,2,eL4
111,479.794034797017,11355.9198011599,701,300,2,eL4
112,497.267042755344,1933.71722090261,258,129,8,Oligo
113,477.530769577566,5127.81470628015,437,208,5,eL6-2
114,475.284825149006,6410.16878527349,430,213,8,Oligo
115,476.996390341051,9615.03223798855,728,325,2,eL4
116,496.869332202344,4820.84091610117,774,327,5,eL6-2
117,479.218892966668,8507.00457493339,785,353,3,eL5
118,481.856099560325,15747.2397347045,416,185,6,Smc
119,509.19587628866,3451.17859308672,205,109,8,Oligo
120,502.344772967265,4205.39928722281,405,202,8,Oligo
121,493.885634782609,15205.1680695652,214,103,10,Endo
122,533.16597979798,6281.86327272727,592,284,4,eL6-1
123,533.406134830187,8116.60219992062,409,209,13,PVALB
124,530.225485338498,10978.417323544,586,273,2,eL4
125,536.092121285923,11755.3012359961,1132,445,2,eL4
126,539.81887861755,4640.7413945278,745,332,5,eL6-2
127,534.44147307089,8977.21134931899,1453,488,7,Astro-1
128,571.082507872889,7196.33272258803,199,101,-1,
129,555.58889212828,7880.25731778426,1081,439,4,eL6-1
130,510.171634006408,10142.5326726771,740,350,2,eL4
131,561.533477127707,15796.7586950661,377,149,6,Smc
132,544.588121942784,5574.93275359455,361,185,5,eL6-2
133,547.185224649263,13710.4360149174,778,376,1,eL2/3
134,602.956443515859,4254.9928614956,958,412,5,eL6-2
135,568.485734307739,6562.71705542764,820,326,13,PVALB
136,575.954044740707,7574.41009490453,1576,501,7,Astro-1
137,600.971909225768,8506.88208187356,993,396,8,Oligo
138,574.918825246261,11232.0229843123,697,313,1,eL2/3
139,574.818403844639,12247.5981643426,1007,396,1,eL2/3
140,588.33496613218,12865.8074700547,653,276,2,eL4
141,569.072449090317,2639.42424132817,404,191,8,Oligo
142,600.727088237682,5211.22104066889,637,325,5,eL6-2
143,602.349356592483,9489.03250283569,547,272,11,Astro-2
144,602.64320625611,2430.29957640925,273,132,8,Oligo
145,576.270259925537,10033.9685792825,944,385,15,Reln
146,649.168250129556,12718.3989635516,606,261,11,Astro-2
147,634.498313328626,10798.934415941,419,184,2,eL4
148,646.375700443614,11621.266285314,1271,448,13,PVALB
149,628.783055928874,13589.8453943968,525,286,1,eL2/3
150,627.572720523723,71.2189377066883,287,164,0,HPC
151,647.569912862883,3792.42123797914,413,207,11,Astro-2
152,670.766641856251,11061.3788226918,793,342,2,eL4
153,659.901934443847,15860.8051047824,533,215,6,Smc
154,635.777916979871,1733.73540466049,360,187,8,Oligo
155,652.879366085578,2775.87118858954,401,196,8,Oligo
156,594.94804045512,9236.71099873578,514,233,7,Astro-1
157,663.889187632034,2083.48886114845,337,154,8,Oligo
158,626.529758338326,2964.51657679249,355,174,8,Oligo
159,669.301526882651,10183.7220900558,556,276,2,eL4
160,670.15981514321,5076.8654951905,295,155,1,eL2/3
161,669.023106731091,9924.78672917763,610,294,3,eL5
162,669.052457255393,11357.6307403097,678,304,2,eL4
163,705.281463883704,2670.30737032638,384,177,8,Oligo
164,689.225464190981,3598.72135910067,344,170,8,Oligo
165,725.735440608372,8069.78641366408,929,328,7,Astro-1
166,728.24081255771,43.5498614958449,338,192,0,HPC
167,751.976149011888,5758.75198758234,1208,432,10,Endo
168,691.274499322248,7408.58951106359,1914,590,7,Astro-1
169,712.430667474032,7684.59238902604,374,182,10,Endo
170,716.041279033947,10542.6795637977,293,153,10,Endo
171,733.987282178703,9363.46974204728,1093,451,2,eL4
172,706.652298545493,9781.18586544927,609,277,10,Endo
173,714.117110527901,12152.5648152132,609,241,15,Reln
174,753.648784046693,3118.47898832685,352,156,8,Oligo
175,714.883498098859,4664.25562737643,833,361,5,eL6-2
176,718.081447469116,8970.25738857913,655,251,11,Astro-2
177,734.36654073043,12325.3207065686,968,415,1,eL2/3
178,702.671364275095,225.517931694601,1427,509,0,HPC
179,766.412981959675,3027.57363518453,306,148,8,Oligo
180,739.740416795568,6334.09261186264,971,386,4,eL6-1
181,717.829195066537,13976.149707887,659,312,2,eL4
182,731.526638682596,6654.97197287698,302,161,8,Oligo
183,730.131844138394,7191.29811891166,251,137,2,eL4
184,747.153122116272,13605.4193786527,368,206,10,Endo
185,777.681777483005,14164.7696567733,782,369,1,eL2/3
186,752.419177211839,4791.15137396093,580,261,5,eL6-2
187,765.990343752357,9589.19604194433,1100,457,2,eL4
188,824.031994248225,1889.45834456727,371,164,7,Astro-1
189,789.924343098762,3636.3151615826,273,133,7,Astro-1
190,786.260625021971,10726.507083348,843,366,2,eL4
191,782.526454722828,13752.8162133211,672,342,1,eL2/3
192,746.876986785214,4144.34203154497,883,396,15,Reln
193,779.387780548629,4309.98721945137,781,380,5,eL6-2
194,799.275072966457,11933.8382471131,519,243,2,eL4
195,830.524899919936,4955.5743795036,999,402,5,eL6-2
196,788.8326661035,9154.03191684725,577,282,2,eL4
197,822.125455759256,13954.604734761,619,311,1,eL2/3
198,833.282936410508,6632.95286029953,584,280,13,PVALB
199,832.940069865995,7944.68482991639,1062,425,7,Astro-1
200,772.223188268834,13236.5800059853,1615,512,7,Astro-1
201,810.559612437048,2633.14916794395,248,144,9,Micro
202,815.657882543728,2775.40970693849,201,107,8,Oligo
203,821.923873933902,10068.3542777186,787,376,1,eL2/3
204,844.225478337365,13574.4041126017,574,294,11,Astro-2
205,848.121006168507,15892.3386399734,776,303,6,Smc
206,857.288690866204,3715.73594548552,354,191,11,Astro-2
207,825.316341016442,5525.26649975479,1259,486,7,Astro-1
208,816.727149496514,11787.3595726827,989,400,2,eL4
209,830.290207135885,8706.72969309186,1187,438,11,Astro-2
210,872.579328823685,11106.2787050865,301,158,9,Micro
211,852.80356676816,11632.776076555,771,310,2,eL4
212,842.025636466021,3884.8495302451,528,239,5,eL6-2
213,886.321872799812,11270.3028631777,677,342,1,eL2/3
214,877.055073918598,15066.2611790473,286,138,11,Astro-2
215,891.763274144651,4777.78302295366,644,329,5,eL6-2
216,888.619783533466,7281.06477841796,256,142,3,eL5
217,892.300953752025,4446.77397876552,631,295,5,eL6-2
